site,date,non.salad,salad,salad.ratio,Total.meals,Product.source,Florida,FTS,Other.Source,FTS.Florida,FTS.Start,White,Black,Hispanic,Asian,Other,Asian.Other,Total,Offerd.BC,Offered.Salad,Offered.Mexican,Offered.Pizza,Offered.Sandwich,Offered.HB,Offered.Italian,Offered.Other,Mandarin,Chef ,Taco,Chicken.Chop,Fajita,Chicken.Tender,Salad.LO ,Chicken.Smacker,Total Students,Free Lunch,Reduced Lunch,Free,Reduced,Paid
Terwilliger,9/8/2015,501,30,0.0565,531,1,0,0,1,0,0,21.8,53.9,12.5,0,10.8,10.8,99,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,680,496,11,0.729411765,0.016176471,0.254411765
Williams,9/8/2015,334,53,0.137,387,1,0,0,1,0,0,11,73.1,2.8,9.2,3.7,12.9,99.8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,628,435,3,0.692675159,0.00477707,0.302547771
Finley,9/9/2015,281,6,0.0209,287,1,0,0,1,0,0,36.6,26.4,19.9,11.9,4.9,16.8,99.7,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,650,246,3,0.378461538,0.004615385,0.616923077
Foster,9/9/2015,374,18,0.0459,392,1,0,0,1,0,0,32.1,42.7,9.1,6.9,9,15.9,99.8,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,529,280,12,0.529300567,0.02268431,0.448015123
Glen,9/9/2015,153,12,0.0727,165,1,0,0,1,0,0,55.7,25,8.7,2,7.9,9.9,99.3,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,499,244,21,0.488977956,0.042084168,0.468937876
Idylwild ,9/9/2015,625,45,0.0672,670,1,0,0,1,0,0,22.4,54,12.4,4.7,5.4,10.1,98.9,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,803,575,12,0.716064757,0.01494396,0.268991283
Lake.Forest ,9/9/2015,301,23,0.071,324,1,0,0,1,0,0,14.7,76.7,2.7,0,4.9,4.9,99,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,352,312,1,0.886363636,0.002840909,0.110795455
Littlewood ,9/9/2015,460,56,0.1085,516,1,0,0,1,0,0,41.1,32.5,13.6,4.4,8.3,12.7,99.9,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,720,333,13,0.4625,0.018055556,0.519444444
Meadowbrook,9/9/2015,258,14,0.0515,272,1,0,0,1,0,0,54.7,20.2,10.4,5.8,8.6,14.4,99.7,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,810,256,35,0.316049383,0.043209877,0.640740741
Metcalfe,9/9/2015,260,20,0.0714,280,1,0,0,1,0,0,7.3,88.3,0,0,0,0,95.6,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,316,262,2,0.829113924,0.006329114,0.164556962
Newberry,9/9/2015,363,16,0.0422,379,1,0,0,1,0,0,61.5,16.7,12,0,8.2,8.2,98.4,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,609,261,11,0.428571429,0.018062397,0.553366174
Norton,9/9/2015,394,45,0.1025,439,1,0,0,1,0,0,48.4,27.2,8.6,5.3,10.1,15.4,99.6,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,673,0,0,0,0,1
Rawlings,9/9/2015,243,22,0.083,265,1,0,0,1,0,0,0,91.3,3.8,0,4.1,4.1,99.2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,264,229,0,0.867424242,0,0.132575758
Terwilliger,9/9/2015,492,25,0.0484,517,1,0,0,1,0,0,21.8,53.9,12.5,0,10.8,10.8,99,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,680,496,11,0.729411765,0.016176471,0.254411765
Williams,9/9/2015,371,33,0.0817,404,1,0,0,1,0,0,11,73.1,2.8,9.2,3.7,12.9,99.8,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,628,435,3,0.692675159,0.00477707,0.302547771
Idylwild ,9/10/2015,564,0,0,564,1,0,0,1,0,0,22.4,54,12.4,4.7,5.4,10.1,98.9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,803,575,12,0.716064757,0.01494396,0.268991283
Littlewood ,9/10/2015,407,14,0.0333,421,1,0,0,1,0,0,41.1,32.5,13.6,4.4,8.3,12.7,99.9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,720,333,13,0.4625,0.018055556,0.519444444
Finley,9/11/2015,333,10,0.0292,343,1,0,0,1,0,0,36.6,26.4,19.9,11.9,4.9,16.8,99.7,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,650,246,3,0.378461538,0.004615385,0.616923077
Foster,9/11/2015,400,10,0.0244,410,1,0,0,1,0,0,32.1,42.7,9.1,6.9,9,15.9,99.8,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,529,280,12,0.529300567,0.02268431,0.448015123
Glen,9/11/2015,207,10,0.0461,217,1,0,0,1,0,0,55.7,25,8.7,2,7.9,9.9,99.3,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,499,244,21,0.488977956,0.042084168,0.468937876
Idylwild ,9/11/2015,515,138,0.2113,653,1,0,0,1,0,0,22.4,54,12.4,4.7,5.4,10.1,98.9,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,803,575,12,0.716064757,0.01494396,0.268991283
Lake.Forest ,9/11/2015,323,5,0.0152,328,1,0,0,1,0,0,14.7,76.7,2.7,0,4.9,4.9,99,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,352,312,1,0.886363636,0.002840909,0.110795455
Littlewood ,9/11/2015,498,69,0.1217,567,1,0,0,1,0,0,41.1,32.5,13.6,4.4,8.3,12.7,99.9,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,720,333,13,0.4625,0.018055556,0.519444444
Meadowbrook,9/11/2015,368,3,0.0081,371,1,0,0,1,0,0,54.7,20.2,10.4,5.8,8.6,14.4,99.7,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,810,256,35,0.316049383,0.043209877,0.640740741
Metcalfe,9/11/2015,257,20,0.0722,277,1,0,0,1,0,0,7.3,88.3,0,0,0,0,95.6,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,316,262,2,0.829113924,0.006329114,0.164556962
Newberry,9/11/2015,426,15,0.034,441,1,0,0,1,0,0,61.5,16.7,12,0,8.2,8.2,98.4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,609,261,11,0.428571429,0.018062397,0.553366174
Norton,9/11/2015,477,40,0.0774,517,1,0,0,1,0,0,48.4,27.2,8.6,5.3,10.1,15.4,99.6,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,673,0,0,0,0,1
Rawlings,9/11/2015,289,11,0.0367,300,1,0,0,1,0,0,0,91.3,3.8,0,4.1,4.1,99.2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,264,229,0,0.867424242,0,0.132575758
